month,total_sales,total_profit,order_count,avg_unit_price,avg_discount,total_quantity,month_num,quarter,year,time_idx,lag_1,lag_2,lag_3,lag_6,lag_12,roll_mean_3,roll_std_3,roll_mean_6,roll_std_6,roll_mean_12,roll_std_12,roll_max_3,roll_max_6,cat_Clothing & Accessories,cat_Furniture,cat_Office Supplies,cat_Technology,reg_Asia Pacific,reg_Europe,reg_Middle East & Africa,reg_North America,reg_South America
2023-04-01,566.78,201.4,5,54.004,4.0,12,4,2,2023,4,45.26,364.86,163.99,,,191.37,161.5496465486694,191.37,161.5496465486694,191.37,161.5496465486694,364.86,364.86,True,False,False,False,True,False,False,False,False
2023-05-01,372.36,120.2,2,66.05,15.0,9,5,2,2023,5,566.78,45.26,364.86,,,325.6333333333333,262.9635452554847,285.22249999999997,229.4167079610085,285.22249999999997,229.4167079610085,566.78,566.78,True,False,False,False,True,False,False,False,False
2023-06-01,452.3200000000001,155.05,4,29.3525,8.75,16,6,2,2023,6,372.36,566.78,45.26,,,328.1333333333333,263.557917986414,302.65,202.4663137413234,302.65,202.4663137413234,566.78,566.78,True,False,False,False,True,False,False,False,False
2023-11-01,49.64,2.07,2,26.345,5.0,2,11,4,2023,11,66.02,568.62,363.8,372.36,,332.81333333333333,252.72874813391007,398.31666666666666,185.78789171166852,329.33444444444444,196.98861826962946,568.62,568.62,True,False,False,False,True,False,False,False,False
2023-12-01,1137.85,440.63,5,63.470000000000006,9.0,20,12,4,2023,12,49.64,66.02,568.62,452.3200000000001,,228.09333333333333,295.01844710684344,312.12666666666667,210.33731486986963,301.365,205.70804820046408,568.62,568.62,True,False,False,False,True,False,False,False,False
2024-05-01,1351.38,609.27,4,63.195,2.5,17,5,2,2024,17,1178.47,1226.29,982.98,49.64,372.36,1129.2466666666667,128.90749176573502,773.5416666666666,560.3844247448948,584.1991666666667,445.90075478454196,1226.29,1226.29,True,False,False,False,True,False,False,False,False
2024-06-01,298.16,92.63,3,43.63999999999999,8.333333333333334,7,6,2,2024,18,1351.38,1178.47,1226.29,1137.85,452.3200000000001,1252.0466666666669,89.28617716832197,987.7683333333334,474.99586522060025,693.0425,461.5242400237993,1351.38,1351.38,True,False,False,False,True,False,False,False,False
2024-07-01,123.84,23.22,1,25.8,20.0,6,7,3,2024,19,298.16,1351.38,1178.47,,,942.6700000000001,564.8179548314657,1029.1883333333333,377.70002517429975,670.6574999999999,474.53592417175906,1351.38,1351.38,True,False,False,False,True,False,False,False,False
2024-08-01,324.59000000000003,118.05,3,33.56666666666666,5.0,10,8,3,2024,20,123.84,298.16,1351.38,982.98,363.8,591.1266666666667,664.1428413627093,860.1866666666668,519.5700938147486,649.9475,493.77110148004624,1351.38,1351.38,True,False,False,False,True,False,False,False,False
2024-09-01,389.6,159.92000000000002,2,41.56,0.0,9,9,3,2024,21,324.59000000000003,123.84,298.16,1226.29,568.62,248.86333333333326,109.07686112706412,750.455,556.6515546641364,639.3033333333334,499.7590512042839,324.59000000000003,1351.38,True,False,False,False,True,False,False,False,False
2024-10-01,447.44,135.07,6,41.10666666666667,7.5,13,10,4,2024,22,389.6,324.59000000000003,123.84,1178.47,66.02,279.34333333333325,138.53714315421996,611.0066666666667,516.9965424126806,641.4533333333334,498.52002785213847,389.6,1351.38,True,False,False,False,True,False,False,False,False
2024-11-01,692.06,262.32,3,71.05,11.666666666666666,10,11,4,2024,23,447.44,389.6,324.59000000000003,1351.38,49.64,387.20999999999987,61.45986251204531,489.1683333333333,436.37118770224345,631.355,501.34883182543393,447.44,1351.38,True,False,False,False,True,False,False,False,False
2024-12-01,343.63,153.66,1,49.09,0.0,7,12,4,2024,24,692.06,447.44,389.6,298.16,1137.85,509.6999999999999,160.5544879472371,379.2816666666667,188.3638290560756,683.525,468.6807491536992,692.06,692.06,True,False,False,False,True,False,False,False,False
